brand,year,mileage,horsepower,engine_size,fuel_type,transmission,owner_count,price
Toyota,2022,80275,185,2.9,Petrol,Automatic,1,1266191
Toyota,2022,92531,252,1.3,Electric,Automatic,2,1295940
Honda,2024,94880,234,2.8,Diesel,Manual,2,1474679
Honda,2023,12338,285,2.4,Electric,Manual,4,1488512
Toyota,2024,56254,294,2.7,Electric,Manual,2,1566673
BMW,2020,22743,258,2.6,Electric,Manual,4,1477305
Hyundai,2018,13779,192,1.4,Diesel,Manual,3,907506
BMW,2020,82028,305,2.8,Diesel,Automatic,3,1574574
Tata,2023,55049,273,1.9,Electric,Manual,1,1270505
Mercedes,2023,27989,273,2.7,Petrol,Automatic,3,1736364
Honda,2022,68899,190,2.3,Petrol,Manual,1,1263670
Toyota,2021,59176,285,2.7,Diesel,Automatic,3,1395898
Toyota,2020,96414,152,1.1,Diesel,Manual,4,949804
Honda,2024,103141,88,1.1,Petrol,Automatic,2,1114787
BMW,2021,19522,213,2.7,Electric,Automatic,2,1541741
Ford,2018,24201,160,1.2,Petrol,Automatic,3,897232
Tata,2016,108571,200,1.3,Diesel,Automatic,2,766267
BMW,2017,39673,244,1.8,Diesel,Automatic,1,1235741
Ford,2024,47120,298,2.5,Diesel,Manual,4,1408782
Hyundai,2017,87442,269,1.6,Diesel,Manual,1,966672
Toyota,2019,85963,128,1.7,Electric,Automatic,3,913703
Honda,2015,92229,198,2.0,Electric,Manual,3,913870
Toyota,2021,77305,100,1.9,Electric,Manual,1,1069597
BMW,2021,21620,242,2.3,Petrol,Automatic,1,1527006
Hyundai,2020,56409,163,2.3,Petrol,Manual,1,1002607
Hyundai,2019,95014,95,2.1,Petrol,Automatic,2,852465
Honda,2020,67358,193,1.6,Electric,Manual,3,1102296
BMW,2017,7485,167,3.0,Electric,Automatic,1,1240853
Ford,2016,81588,241,1.6,Petrol,Automatic,3,891725
Tata,2018,17390,227,1.5,Electric,Manual,1,961599
BMW,2018,40644,279,2.8,Electric,Manual,1,1471626
Hyundai,2021,64231,297,3.1,Petrol,Manual,1,1296313
Ford,2019,116477,318,3.0,Petrol,Automatic,4,1190062
Hyundai,2016,64668,192,2.7,Petrol,Manual,3,902104
Hyundai,2015,89710,259,1.6,Petrol,Automatic,4,869654
Honda,2015,100577,294,1.4,Petrol,Manual,3,932804
Honda,2018,119773,266,3.1,Diesel,Automatic,2,1225428
Honda,2016,31410,147,2.5,Petrol,Automatic,1,963249
Hyundai,2021,93111,219,1.4,Electric,Automatic,1,1055881
Tata,2023,20071,184,3.0,Petrol,Manual,2,1206757
Toyota,2019,63462,239,3.1,Diesel,Manual,4,1200789
Hyundai,2020,68847,115,1.2,Diesel,Automatic,1,904479
Toyota,2024,24086,223,3.1,Electric,Automatic,2,1501188
BMW,2023,7051,239,2.8,Petrol,Manual,4,1596972
Ford,2020,92991,225,2.9,Electric,Automatic,2,1137180
Ford,2016,79972,311,2.0,Electric,Automatic,1,1023761
Hyundai,2022,101698,275,1.2,Electric,Manual,2,1177681
Mercedes,2016,99836,156,1.3,Petrol,Automatic,4,934569
Honda,2017,71402,116,1.3,Diesel,Manual,3,817918
Toyota,2023,11138,183,2.5,Diesel,Automatic,2,1376195
